Params: {Param(parent='LogisticRegression_fb90fa3cb9ab', name='regParam', doc='regularization parameter (>= 0).'): 0.0, Param(parent='LogisticRegression_fb90fa3cb9ab', name='maxIter', doc='max number of iterations (>= 0).'): 0, Param(parent='LogisticRegression_fb90fa3cb9ab', name='elasticNetParam', doc='the ElasticNet mixing parameter, in range [0, 1]. For alpha = 0, the penalty is an L2 penalty. For alpha = 1, it is an L1 penalty.'): 0.5} => Train accuracy: 0.5149842271293376, Test accuracy: 0.4498069498069498, F1: 0.27910790760324716
Params: {Param(parent='LogisticRegression_fb90fa3cb9ab', name='regParam', doc='regularization parameter (>= 0).'): 0.0, Param(parent='LogisticRegression_fb90fa3cb9ab', name='maxIter', doc='max number of iterations (>= 0).'): 3, Param(parent='LogisticRegression_fb90fa3cb9ab', name='elasticNetParam', doc='the ElasticNet mixing parameter, in range [0, 1]. For alpha = 0, the penalty is an L2 penalty. For alpha = 1, it is an L1 penalty.'): 0.5} => Train accuracy: 0.9858044164037855, Test accuracy: 0.832046332046332, F1: 0.8324552810700857
Params: {Param(parent='LogisticRegression_fb90fa3cb9ab', name='regParam', doc='regularization parameter (>= 0).'): 0.0, Param(parent='LogisticRegression_fb90fa3cb9ab', name='maxIter', doc='max number of iterations (>= 0).'): 5, Param(parent='LogisticRegression_fb90fa3cb9ab', name='elasticNetParam', doc='the ElasticNet mixing parameter, in range [0, 1]. For alpha = 0, the penalty is an L2 penalty. For alpha = 1, it is an L1 penalty.'): 0.5} => Train accuracy: 0.9810725552050473, Test accuracy: 0.832046332046332, F1: 0.8324552810700857
Params: {Param(parent='LogisticRegression_fb90fa3cb9ab', name='regParam', doc='regularization parameter (>= 0).'): 10.0, Param(parent='LogisticRegression_fb90fa3cb9ab', name='maxIter', doc='max number of iterations (>= 0).'): 0, Param(parent='LogisticRegression_fb90fa3cb9ab', name='elasticNetParam', doc='the ElasticNet mixing parameter, in range [0, 1]. For alpha = 0, the penalty is an L2 penalty. For alpha = 1, it is an L1 penalty.'): 0.5} => Train accuracy: 0.5149842271293376, Test accuracy: 0.4498069498069498, F1: 0.27910790760324716
Params: {Param(parent='LogisticRegression_fb90fa3cb9ab', name='regParam', doc='regularization parameter (>= 0).'): 10.0, Param(parent='LogisticRegression_fb90fa3cb9ab', name='maxIter', doc='max number of iterations (>= 0).'): 3, Param(parent='LogisticRegression_fb90fa3cb9ab', name='elasticNetParam', doc='the ElasticNet mixing parameter, in range [0, 1]. For alpha = 0, the penalty is an L2 penalty. For alpha = 1, it is an L1 penalty.'): 0.5} => Train accuracy: 0.5149842271293376, Test accuracy: 0.4498069498069498, F1: 0.27910790760324716
Params: {Param(parent='LogisticRegression_fb90fa3cb9ab', name='regParam', doc='regularization parameter (>= 0).'): 10.0, Param(parent='LogisticRegression_fb90fa3cb9ab', name='maxIter', doc='max number of iterations (>= 0).'): 5, Param(parent='LogisticRegression_fb90fa3cb9ab', name='elasticNetParam', doc='the ElasticNet mixing parameter, in range [0, 1]. For alpha = 0, the penalty is an L2 penalty. For alpha = 1, it is an L1 penalty.'): 0.5} => Train accuracy: 0.5149842271293376, Test accuracy: 0.4498069498069498, F1: 0.27910790760324716
Params: {Param(parent='LogisticRegression_fb90fa3cb9ab', name='regParam', doc='regularization parameter (>= 0).'): 15.0, Param(parent='LogisticRegression_fb90fa3cb9ab', name='maxIter', doc='max number of iterations (>= 0).'): 0, Param(parent='LogisticRegression_fb90fa3cb9ab', name='elasticNetParam', doc='the ElasticNet mixing parameter, in range [0, 1]. For alpha = 0, the penalty is an L2 penalty. For alpha = 1, it is an L1 penalty.'): 0.5} => Train accuracy: 0.5149842271293376, Test accuracy: 0.4498069498069498, F1: 0.27910790760324716
Params: {Param(parent='LogisticRegression_fb90fa3cb9ab', name='regParam', doc='regularization parameter (>= 0).'): 15.0, Param(parent='LogisticRegression_fb90fa3cb9ab', name='maxIter', doc='max number of iterations (>= 0).'): 3, Param(parent='LogisticRegression_fb90fa3cb9ab', name='elasticNetParam', doc='the ElasticNet mixing parameter, in range [0, 1]. For alpha = 0, the penalty is an L2 penalty. For alpha = 1, it is an L1 penalty.'): 0.5} => Train accuracy: 0.5149842271293376, Test accuracy: 0.4498069498069498, F1: 0.27910790760324716
Params: {Param(parent='LogisticRegression_fb90fa3cb9ab', name='regParam', doc='regularization parameter (>= 0).'): 15.0, Param(parent='LogisticRegression_fb90fa3cb9ab', name='maxIter', doc='max number of iterations (>= 0).'): 5, Param(parent='LogisticRegression_fb90fa3cb9ab', name='elasticNetParam', doc='the ElasticNet mixing parameter, in range [0, 1]. For alpha = 0, the penalty is an L2 penalty. For alpha = 1, it is an L1 penalty.'): 0.5} => Train accuracy: 0.5149842271293376, Test accuracy: 0.4498069498069498, F1: 0.27910790760324716
Params: {Param(parent='LogisticRegression_fb90fa3cb9ab', name='regParam', doc='regularization parameter (>= 0).'): 0.0, Param(parent='LogisticRegression_fb90fa3cb9ab', name='maxIter', doc='max number of iterations (>= 0).'): 0, Param(parent='LogisticRegression_fb90fa3cb9ab', name='elasticNetParam', doc='the ElasticNet mixing parameter, in range [0, 1]. For alpha = 0, the penalty is an L2 penalty. For alpha = 1, it is an L1 penalty.'): 0.5} => Train accuracy: 0.5149842271293376, Test accuracy: 0.4498069498069498, F1: 0.27910790760324716
Params: {Param(parent='LogisticRegression_fb90fa3cb9ab', name='regParam', doc='regularization parameter (>= 0).'): 0.0, Param(parent='LogisticRegression_fb90fa3cb9ab', name='maxIter', doc='max number of iterations (>= 0).'): 3, Param(parent='LogisticRegression_fb90fa3cb9ab', name='elasticNetParam', doc='the ElasticNet mixing parameter, in range [0, 1]. For alpha = 0, the penalty is an L2 penalty. For alpha = 1, it is an L1 penalty.'): 0.5} => Train accuracy: 0.9763406940063092, Test accuracy: 0.8146718146718147, F1: 0.8151398990710326
Params: {Param(parent='LogisticRegression_fb90fa3cb9ab', name='regParam', doc='regularization parameter (>= 0).'): 0.0, Param(parent='LogisticRegression_fb90fa3cb9ab', name='maxIter', doc='max number of iterations (>= 0).'): 5, Param(parent='LogisticRegression_fb90fa3cb9ab', name='elasticNetParam', doc='the ElasticNet mixing parameter, in range [0, 1]. For alpha = 0, the penalty is an L2 penalty. For alpha = 1, it is an L1 penalty.'): 0.5} => Train accuracy: 0.9787066246056783, Test accuracy: 0.8243243243243243, F1: 0.8247618816934899
Params: {Param(parent='LogisticRegression_fb90fa3cb9ab', name='regParam', doc='regularization parameter (>= 0).'): 10.0, Param(parent='LogisticRegression_fb90fa3cb9ab', name='maxIter', doc='max number of iterations (>= 0).'): 0, Param(parent='LogisticRegression_fb90fa3cb9ab', name='elasticNetParam', doc='the ElasticNet mixing parameter, in range [0, 1]. For alpha = 0, the penalty is an L2 penalty. For alpha = 1, it is an L1 penalty.'): 0.5} => Train accuracy: 0.5149842271293376, Test accuracy: 0.4498069498069498, F1: 0.27910790760324716
