Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 10, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.001} => Train accuracy: 0.7086247086247086, Test accuracy: 0.6486486486486487, F1: 0.6486486486486487
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 10, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.01} => Train accuracy: 0.7086247086247086, Test accuracy: 0.6486486486486487, F1: 0.6486486486486487
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 10, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.1} => Train accuracy: 0.7086247086247086, Test accuracy: 0.6486486486486487, F1: 0.6486486486486487
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 15, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.001} => Train accuracy: 0.9813519813519813, Test accuracy: 0.8223938223938224, F1: 0.8226736640602187
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 15, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.01} => Train accuracy: 0.9813519813519813, Test accuracy: 0.8223938223938224, F1: 0.8226736640602187
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 15, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.1} => Train accuracy: 0.9813519813519813, Test accuracy: 0.8223938223938224, F1: 0.8226736640602187
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 20, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.001} => Train accuracy: 0.9844599844599845, Test accuracy: 0.806949806949807, F1: 0.807412029634252
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 20, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.01} => Train accuracy: 0.9844599844599845, Test accuracy: 0.806949806949807, F1: 0.807412029634252
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 20, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.1} => Train accuracy: 0.9844599844599845, Test accuracy: 0.806949806949807, F1: 0.807412029634252
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 10, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.001} => Train accuracy: 0.7117327117327117, Test accuracy: 0.6583011583011583, F1: 0.6588757461230923
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 10, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.01} => Train accuracy: 0.7117327117327117, Test accuracy: 0.6583011583011583, F1: 0.6588757461230923
