Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 0.0} => Train accuracy: 0.9809523809523809, Test accuracy: 0.8557504873294347, F1: 0.8557175987036547
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 10.0} => Train accuracy: 0.9746031746031746, Test accuracy: 0.8460038986354775, F1: 0.8459547421656117
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 15.0} => Train accuracy: 0.9738095238095238, Test accuracy: 0.8499025341130604, F1: 0.8497039449366375
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 5, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 0.0} => Train accuracy: 0.9841269841269841, Test accuracy: 0.8460038986354775, F1: 0.84601327031973
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 5, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 10.0} => Train accuracy: 0.9809523809523809, Test accuracy: 0.8538011695906432, F1: 0.853834519765815
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 5, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 15.0} => Train accuracy: 0.9777777777777777, Test accuracy: 0.8557504873294347, F1: 0.8557888632259341
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 0.0} => Train accuracy: 0.9746031746031746, Test accuracy: 0.8440545808966862, F1: 0.8440190256255728
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 10.0} => Train accuracy: 0.9722222222222222, Test accuracy: 0.834307992202729, F1: 0.8340345408165257
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 15.0} => Train accuracy: 0.9706349206349206, Test accuracy: 0.8323586744639376, F1: 0.8320526479478076
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 5, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 0.0} => Train accuracy: 0.9833333333333333, Test accuracy: 0.8518518518518519, F1: 0.8518890229300496
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 5, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 10.0} => Train accuracy: 0.9753968253968254, Test accuracy: 0.8440545808966862, F1: 0.8440901383296742
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 5, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 15.0} => Train accuracy: 0.9753968253968254, Test accuracy: 0.847953216374269, F1: 0.8479185499849334
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 0.0} => Train accuracy: 0.9634920634920635, Test accuracy: 0.847953216374269, F1: 0.8478179804556091
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 10.0} => Train accuracy: 0.957936507936508, Test accuracy: 0.8382066276803118, F1: 0.8378188332594122
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 15.0} => Train accuracy: 0.9563492063492064, Test accuracy: 0.8421052631578947, F1: 0.8417881680692052
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 5, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 0.0} => Train accuracy: 0.969047619047619, Test accuracy: 0.8382066276803118, F1: 0.8382509032463673
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 5, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 10.0} => Train accuracy: 0.9674603174603175, Test accuracy: 0.8499025341130604, F1: 0.8498808606241706
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 5, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 15.0} => Train accuracy: 0.9650793650793651, Test accuracy: 0.8499025341130604, F1: 0.8498546221107861
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 0.0} => Train accuracy: 0.969047619047619, Test accuracy: 0.8499025341130604, F1: 0.8497039449366375
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 10.0} => Train accuracy: 0.9587301587301588, Test accuracy: 0.834307992202729, F1: 0.8333169183000182
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 15.0} => Train accuracy: 0.9595238095238096, Test accuracy: 0.834307992202729, F1: 0.8333169183000182
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 5, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 0.0} => Train accuracy: 0.973015873015873, Test accuracy: 0.8460038986354775, F1: 0.8460425245117077
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 5, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 10.0} => Train accuracy: 0.9674603174603175, Test accuracy: 0.8460038986354775, F1: 0.8459816621988243
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 5, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 15.0} => Train accuracy: 0.9666666666666667, Test accuracy: 0.8576998050682261, F1: 0.8576251757860738
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 0.0} => Train accuracy: 0.973015873015873, Test accuracy: 0.8518518518518519, F1: 0.8517899226560643
Params: {Param(parent='LinearSVC_e5649d62f90d', name='maxIter', doc='max number of iterations (>= 0).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='aggregationDepth', doc='suggested depth for treeAggregate (>= 2).'): 3, Param(parent='LinearSVC_e5649d62f90d', name='regParam', doc='regularization parameter (>= 0).'): 10.0} => Train accuracy: 0.9658730158730159, Test accuracy: 0.8401559454191033, F1: 0.8398044928036599
